"","taxon_scientific_name","assessment_id","red_list_category_code","criteria","AOO","EOO","popSize","NumLocationsExtant","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"190","Tetrablemma benoiti",2458686,"EN","B1ab(iii)+2ab(iii)","100","700",NA,2,2,5,1,5,50,190,50,NA
"191","Tylorida mornensis",2458700,"EN","B1ab(iii)+2ab(iii)","20","300",NA,2,2,5,1,5,50,191,50,NA
"192","Argyrodes chionus",2458714,"EN","B1ab(iii)+2ab(iii)","50","150",NA,2,2,5,1,5,50,192,50,NA
"193","Dipoena hasra",2458749,"EN","B1ab(iii)+2ab(iii)","50","150",NA,2,2,5,1,5,50,193,50,NA
"194","Dipoena pristea",2458756,"EN","B1ab(iii)+2ab(iii)","50","150",NA,2,2,5,1,5,50,194,50,NA
"195","Euryopis helcra",2458763,"EN","B1ab(iii)+2ab(iii)","50","150",NA,2,2,5,1,5,50,195,50,NA
"196","Rhomphaea recurvata",2458798,"EN","B1ab(iii)+2ab(iii)","100","800",NA,2,2,5,1,5,50,196,50,NA
"197","Robertia braueri",2458812,"EN","B1ab(iii)+2ab(iii)","50","300",NA,2,2,5,1,5,50,197,50,NA
"198","Theridion cloxum",2458840,"EN","B1ab(iii)+2ab(iii)","50","150",NA,2,2,5,1,5,50,198,50,NA
"199","Theridion mehlum",2458847,"EN","B1ab(iii)+2ab(iii)","50","150",NA,2,2,5,1,5,50,199,50,NA
"200","Theridion nagorum",2458854,"EN","B1ab(iii)+2ab(iii)","50","150",NA,2,2,5,1,5,50,200,50,NA
"201","Theridion palanum",2458861,"EN","B1ab(iii)+2ab(iii)","50","150",NA,2,2,5,1,5,50,201,50,NA
"202","Firmicus insularis",2458889,"EN","B1ab(iii)+2ab(iii)","50","800",NA,2,2,5,1,5,50,202,50,NA
"203","Compsaditha seychellensis",2458917,"EN","B2ab(iii)","100","6000",NA,2,2,5,1,5,50,203,50,NA
"204","Ideoblothrus seychellesensis",2458924,"EN","B1ab(iii)+2ab(iii)","10","500",NA,2,2,5,1,5,50,204,50,NA
"205","Australobius sechellarum",2475406,"EN","B1ab(iii)+2ab(iii)","60","600",NA,2,2,5,1,5,50,205,50,NA
