"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"258","Auckland Green Gecko","Naultinus elegans","CHORDATA","REPTILIA","SQUAMATA","DIPLODACTYLIDAE",120192539,2018-02-17,"VU","3.1","A2acde+4acde","A2acde+4acde",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,4,0,0,NA,40,50
"259","Weka","Gallirallus australis","CHORDATA","AVES","GRUIFORMES","RALLIDAE",131928535,2018-08-09,"VU","3.1","A3bce+4bce","A3bce+4bce",1,"Decreasing","Yes","Yes","Unknown","Yes","Yes","Unknown","No",NA,"548000","71000-118000","11-100",1,10,4,0,0,NA,40,50
"260","Southern Brown Kiwi","Apteryx australis","CHORDATA","AVES","STRUTHIONIFORMES","APTERYGIDAE",214272214,2022-08-11,"VU","3.1","A2be+3be+4be","A2be+3be+4be",1,"Decreasing","Yes","Unknown","Unknown","Unknown","Yes","Unknown","No",NA,"69300","16500","11-100",1,10,4,0,0,NA,40,50
"261",NA,"Metrosideros kermadecensis","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","MYRTACEAE",254426882,2023-09-01,"VU","3.1","A3e","A3e",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,4,0,0,NA,40,50
"262",NA,"Strumigenys xenos","ARTHROPODA","INSECTA","HYMENOPTERA","FORMICIDAE",9237797,1996-08-01,"VU","2.3","D2","D2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,0,7,0,NA,35,60
"263","Kermadec Nettle Tree","Pouzolzia australis","TRACHEOPHYTA","MAGNOLIOPSIDA","ROSALES","URTICACEAE",247983140,2025-03-26,"VU","3.1","D2","D2",2,"Stable",NA,NA,NA,NA,NA,NA,"Yes","20",NA,NA,"5",1,5,0,7,0,NA,35,60
"264","Snares Crested Penguin","Eudyptes robustus","CHORDATA","AVES","SPHENISCIFORMES","SPHENISCIDAE",132602343,2018-08-07,"VU","3.1","D2","D2",4,"Stable","No","No","Unknown","No","No","No","Yes","0.63","15","63000","1",1,2.5,0,9,0,NA,22.5,62
"265","Blue-thighed Treefrog","Litoria raniformis","CHORDATA","AMPHIBIA","ANURA","PELODRYADIDAE",78435466,2022-02-21,"VU","3.1","A2bce","A2bce",2,"Decreasing",NA,NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,1,5,4,0,0,NA,20,63
"266",NA,"Cantharellus attenuatus","BASIDIOMYCOTA","AGARICOMYCETES","CANTHARELLALES","HYDNACEAE",227537154,2023-11-21,"VU","3.1","A4c","A4c",2,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"32938","10000-30000",NA,1,5,4,0,0,NA,20,63
"267","Largespine Velvet Dogfish","Scymnodon macracanthus","CHORDATA","CHONDRICHTHYES","SQUALIFORMES","SOMNIOSIDAE",267136939,2024-08-30,"VU","3.1","A2d","A2d",3,"Decreasing",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,1,3.33333333333333,4,0,0,NA,13.3333333333333,65
"268","Southern Bluefin Tuna","Thunnus maccoyii","CHORDATA","ACTINOPTERYGII","PERCIFORMES","SCOMBRIDAE",170082633,2021-01-15,"EN","3.1","A1bd","A1bd",10,"Increasing",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,2,1,6,0,0,NA,12,66
"269","Eastern Nannygal","Centroberyx affinis","CHORDATA","ACTINOPTERYGII","BERYCIFORMES","BERYCIDAE",123356632,2024-04-30,"VU","3.1","A2bd","A2bd",4,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.5,4,0,0,NA,10,67
"270","Chatham Albatross","Thalassarche eremita","CHORDATA","AVES","PROCELLARIIFORMES","DIOMEDEIDAE",132644476,2018-08-07,"VU","3.1","D2","D2",12,"Stable","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","1","59100000","11000","1",1,0.833333333333333,0,9,0,NA,7.5,68
"271","Campbell Albatross","Thalassarche impavida","CHORDATA","AVES","PROCELLARIIFORMES","DIOMEDEIDAE",132657209,2018-08-07,"VU","3.1","D2","D2",10,"Increasing","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","13","36100000","43296","1",1,1,0,7,0,NA,7,69
"272","Kingclip","Genypterus blacodes","CHORDATA","ACTINOPTERYGII","OPHIDIIFORMES","OPHIDIIDAE",132965869,2024-03-04,"VU","3.1","A2bd","A2bd",6,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.66666666666667,4,0,0,NA,6.66666666666667,70
"273","School Shark","Galeorhinus galeus","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","TRIAKIDAE",2907336,2020-02-14,"CR","3.1","A2bd","A2bd",66,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.151515151515152,10,0,0,NA,6.06060606060606,71
