"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"55","Vainilla","Vanilla cribbiana","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",173258316,2017-02-16,"CR","3.1","A3cd; C2a(i); D","A3cd; C2a(i); D","Extant","Native",4,"Decreasing","Yes","Yes",NA,"Yes","Yes","Yes","Yes","24","17128.472","10-20","5",4,2.5,10,10,1000,50,100,NA
"56",NA,"Zamia spartea","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",243412074,2020-05-20,"CR","3.1","A2ad","A2ad","Extant","Native",1,"Decreasing","Yes",NA,NA,NA,NA,NA,NA,NA,"703","2000-2500",NA,4,10,5,5,1000,50,200,NA
"57","Muhlenberg’s Smile","Rinodina chrysomelaena","ASCOMYCOTA","LECANOROMYCETES","TELOSCHISTALES","PHYSCIACEAE",80703076,2015-08-13,"CR","3.1","A2c; B1ab(i,ii,iv)+2ab(i,ii,iv)","A2c; B1ab(i,ii,iv)+2ab(i,ii,iv)","Extant","Native",2,"Decreasing","No",NA,"Yes","Yes","Yes","Yes","Yes","8","99","100","2",4,5,5,9,900,57,180,NA
"58",NA,"Zanthoxylum quassiifolium","TRACHEOPHYTA","MAGNOLIOPSIDA","SAPINDALES","RUTACEAE",126621008,2020-11-06,"CR","3.1","A2ac","A2ac","Extant","Native",2,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,NA,"8","125.499",NA,NA,4,5,5,9,900,57,180,NA
"59",NA,"Trichilia chirriactensis","TRACHEOPHYTA","MAGNOLIOPSIDA","SAPINDALES","MELIACEAE",149396421,2019-07-03,"CR","3.1","A2a; B1ab(i,ii,iii,v)","A2a; B1ab(i,ii,iii,v)","Extant","Native",2,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,NA,"12","66.772","249","3",4,5,5,9,900,57,180,NA
"60",NA,"Robinsonella glabrifolia","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",173847960,2020-05-15,"CR","3.1","A2c","A2c","Extant","Native",2,"Decreasing",NA,"Yes",NA,"Yes",NA,NA,NA,NA,"62.071",NA,NA,4,5,5,9,900,57,180,NA
"61",NA,"Faramea cobana","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",126613431,2020-08-18,"CR","3.1","A2ac; C1","A2ac; C1","Extant","Native",3,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,NA,"20","670.483","249",NA,4,3.33333333333333,8,8,853.333333333333,61,106.666666666667,NA
"62",NA,"Gossypium schwendimanii","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",71774929,2017-02-17,"EN","3.1","A4ac; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C2a(i)","A4ac; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C2a(i)","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes","Yes","No","Yes","36","394","300","3",2,10,6,7,840,62,140,NA
"63",NA,"Gossypium lobatum","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",174152905,2017-02-17,"EN","3.1","A4ac; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C2a(i)","A4ac; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C2a(i)","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Yes","Yes","No","Yes","24","2640","400","5",2,10,6,7,840,62,140,NA
"64","Ameca Shiner","Notropis amecae","CHORDATA","ACTINOPTERYGII","CYPRINIFORMES","LEUCISCIDAE",546437,2018-12-05,"EW","3.1",NA,NA,"Extinct Post-1500","Native",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,10,10,800,64,80,NA
"65",NA,"Peniocereus maculatus","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","CACTACEAE",566195,2009-04-29,"CR","3.1","C2a(i); D","C2a(i); D","Extant","Native",1,"Decreasing","Yes",NA,NA,NA,NA,NA,"Yes",NA,"5000","49","5",4,10,2,10,800,64,400,NA
