"CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
NA,"Betta spilotogena","CHORDATA","ACTINOPTERYGII","PERCIFORMES","OSPHRONEMIDAE",91308662,"2019-01-07","EN",3.1,"B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,NA,"3000",NA,"2",2,10,1,5,100,850,100,NA
NA,"Betta patoti","CHORDATA","ACTINOPTERYGII","PERCIFORMES","OSPHRONEMIDAE",91310441,"2018-12-28","EN",3.1,"B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,NA,"580",NA,"2",2,10,1,5,100,850,100,NA
"Flores Oriental Frog","Occidozyga floresiana","CHORDATA","AMPHIBIA","ANURA","DICROGLOSSIDAE",96299350,"2017-05-18","VU",3.1,"B1ab(iii)","B1ab(iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"5801.22",NA,"2",1,10,2,5,100,850,50,NA
NA,"Sphenomorphus modiglianii","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE",104853750,"2017-05-24","EN",3.1,"B1ab(iii)","B1ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,NA,"3898",NA,"2",2,10,1,5,100,850,100,NA
"Matano Leopard Crab","Parathelphusa pantherina","ARTHROPODA","MALACOSTRACA","DECAPODA","GECARCINUCIDAE",109682928,"2018-05-17","EN",3.1,"B1ab(iii)+2ab(iii)","B1ab(iii)+2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"40-170,170","120-220",NA,"2",2,10,1,5,100,850,100,NA
"Bornean Rainbow Toad","Ansonia latidisca","CHORDATA","AMPHIBIA","ANURA","BUFONIDAE",114916284,"2018-03-06","EN",3.1,"B1ab(iii)","B1ab(iii)","Extant","Native",2,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"390.02",NA,"2",2,5,2,5,100,850,50,NA
NA,"Limnonectes sinuatodorsalis","CHORDATA","AMPHIBIA","ANURA","DICROGLOSSIDAE",114926500,"2018-03-07","EN",3.1,"B1ab(iii)","B1ab(iii)","Extant","Native",2,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"623",NA,"2",2,5,2,5,100,850,50,NA
"Koopman’s Pencil-tailed Tree Mouse","Chiropodomys karlkoopmani","CHORDATA","MAMMALIA","RODENTIA","MURIDAE",115070299,"2016-07-12","VU",3.1,"B1ab(ii,iii)","B1ab(ii,iii)","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,"Yes",NA,NA,NA,"11039",NA,"2",1,10,2,5,100,850,50,NA
NA,"Medusanthera inaequalis","TRACHEOPHYTA","MAGNOLIOPSIDA","CARDIOPTERIDALES","STEMONURACEAE",122659202,"2018-03-06","EN",3.1,"B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,"Unknown",NA,"Yes","8-60",NA,NA,"2",2,10,1,5,100,850,100,NA
NA,"Etlingera balikpapanensis","TRACHEOPHYTA","LILIOPSIDA","ZINGIBERALES","ZINGIBERACEAE",124281992,"2018-07-20","EN",3.1,"B2ab(iii)","B2ab(iii)","Extant","Native",1,"Unknown",NA,"Yes",NA,NA,NA,NA,NA,"50",NA,NA,"2",2,10,1,5,100,850,100,NA
